source,label,text
arsarcasm_train,0,"""مع فيدرر يا آجا والكبار 😍 https://t.co/hrBeHbkBNu"""
arsarcasm_train,1,"""@ihe_94 @ya78m @amooo5 @badiajnikhar @Oukasafa @reoshalm @Mnory202 مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي"""
arsarcasm_train,1,#انتخبوا_البرص مشكلة
arsarcasm_train,0,اف هذا🤢
arsarcasm_train,0,"""#شمعة الكترونية لمستخدمي #أجهزة #أبلhttps://t.co/8LikGFNvm9 https://t.co/hV8W8RYY2w"""
arsarcasm_train,0,"""@Fa6ma_352 @Aldousri85x جستن بيبر 🌚"""
arsarcasm_train,0,"""#حماس ما بعد #مشعل.. بعيون #إسرائيلhttps://t.co/n3tBMfsxsx https://t.co/P0rc6PWIJm"""
arsarcasm_train,0,"""@nojoom19 @CyrineAbdlNour @NESREENTAFESH @nadinenjeim نادين نسيب نجيم😌😍😍"""
arsarcasm_train,0,محد صاح https://t.co/dvS94UFsHG
arsarcasm_train,0,في قلبي رجل M❤️                            يلغي كل رجال https://t.co/AQpIJN01g8
arsarcasm_train,0,"""#مباريات_الخميس 15 ديسمبر#ريال_مدريد_كلوب_أمريكا#الشباب_الإتفاق#الباطن_الفيصلي#الجيش_الغرافه#جنوى_فيورنتينا. https://t.co/eD5We9jRUW"""
arsarcasm_train,0,"""اتفاق بملياري دولار بين #الصين و #مصر لتبادل العملات | Eurasia Diary https://t.co/FYqhmLrAYZ с помощью @EurasiaEreb #egypt #china #economy"""
arsarcasm_train,0,"""هاري بوتر يعود من جديد 🐥😂😂😂 https://t.co/6BpABMDRSf"""
arsarcasm_train,0,@almaith_3a @HGH__18  نشطتها مال هاري بوتر احس 😂
arsarcasm_train,0,#مررررررزوووق_فاااااااالح_الحححححبييييينيالولي،t6c
arsarcasm_train,0,يا رب
arsarcasm_train,0,"""الجزيرة.نت: #وتبقى_مآذن_القدس تصدح بالأذان... #إسرائيل #القدس https://t.co/f4ebF4PaxH https://t.co/O9elqpn0tO"""
arsarcasm_train,0,"""كيف تلعب أول لعبة ماريو مخصصة لأجهزة آيفون؟ https://t.co/jzeMgpF5An عبر @AbuNawafNet #SuperMarioRun"""
arsarcasm_train,0,"""رامى عياش عملى لايك على اغنيته 😍🙌 https://t.co/TbFxcQlmfQ"""
arsarcasm_train,0,"""أعجبني فيديو @YouTube على https://t.co/GQuYJAByIV أدمان لعبة بوكيمون قو || Addicted to Pokemon Go"""
arsarcasm_train,0,ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ #ﺍﻻﻫﻠﻰ فى قلبى ﻟﺤﺪ ما #أموووووت
arsarcasm_train,0,"""@Fk999Dir @zaiedkhaled @Almadinanews النظام الصحي الأمريكي يحرم أكثر من 13 مليون أمريكي من العلاج https://t.co/osLJ0PdYnE"""
arsarcasm_train,0,يونجون هنا؟! بكييت لاا https://t.co/sRVxRfh1YJ
arsarcasm_train,0,"""RT @AlghadAlarabi: #تويتر تنزف دولارات ببورصة نيويورك بعد أنباء عن تراجع #جوجل عن «الاستحواذ» https://t.co/nkCvYN8PaE https://t.co/lp7hX5hM…"""
arsarcasm_train,0,"""@mor4630 @maged191919 @malali1988 تحقيق اعلى دخل مع #اوبر https://t.co/8xSZ1pgLGr"""
arsarcasm_train,0,"""بوتين ودعم اليمين المتطرف في العالمhttps://t.co/DyN0iSYRMD https://t.co/RH8Xprlw2F"""
arsarcasm_train,0,"""#ريكي_مارتن يعلن خطوبته من فنان سوري | الموجز https://t.co/9U6fCICWHq via @Almogaz#منوعات https://t.co/SkMw1Fblm2"""
arsarcasm_train,0,"""تفعيل الوضع الليلي على iOS https://t.co/s7BDUAkHcG#ابل #ايفون٧ via @H_watif https://t.co/pfKFHpM48W"""
arsarcasm_train,0,"""بشار الأسد يرفع رسوم ” الإقامة ” في سوريا ! - https://t.co/bmCY2fOEJe https://t.co/lZ0BPViXUZ"""
arsarcasm_train,0,اقصد منجد تستاهل هالتحفة الفنية #hyltbestdance  https://t.co/KGuzces7db
