text,label,dialect,source,arabic_ratio
أقصر قصة نجاح- انا من طرف فلان وانتهى الموضوع و الباقين لفو حشيش بشهداتهم #لبنان_الثقافة,0,levant,arsarcasm_test,1.0
انتي سمينة,0,magreb,isemeval_ar_test_A,1.0
السيتي هيخسر انهارده,0,egypt,isemeval_ar_test_A,1.0
ودن من طين وودن من عجين,1,egypt,isemeval_ar_test_A,1.0
@shmaly06 @PL4News هاذي النبتة طلعت محل م ماتو جنود بريطانيا وقت الحرب عشان كل سنة لازم يلبسوها ك ذكرى,0,levant,ar_sarcasm_hf_train,0.8481012658227848
"حرام عليكوا يا جدعان لسا فاضل من ال100 يوم خمس ايام,انتو مش عارفين مرسى ممكن يعمل ايه فى ال5 ايام دول,ادو الراجل فرصة اومال. #Morsy",0,egypt,arsarcasm_train,0.9494949494949495
"""مهزلة .. ان يأتي محتل غازي لبلدك ويهددك بالخروج منها او الموت !! #لافروف #حلب""",0,msa,arsarcasm_train,1.0
#السفير_الاحمد يشارك في أعمال الجمعية البرلمانية #الناتو المنعقدة في مدينة #اسطنبول https://t.co/tq7kjovsvP,0,levant,ar_sarcasm_hf_train,0.8023255813953488
اللهم اجعل عملي شهيداً لي عندما اسأل وشبابي فيما افنيته.. https://t.co/rWuCr5FBEp,0,msa,arsarcasm_train,0.7301587301587301
القنوات القاقلة لمباراة ريال مدريد وكلوب امريكا بث مباشر فى نصف نهائى كأس,0,msa,isemeval_ar_train,1.0
"""لا انا مسمعتش جوجل دي انت بتخم يا ابو صلاح #احمد_يونس_في_صاحبه_السعاده""",1,egypt,arsarcasm_train,1.0
ذمار : عدد من مدارس المحافظة تحتفي بذكرى المولد النبوي الشريف - #الزوايا_نتhttps://t.co/KqjV4aah34,0,levant,ar_sarcasm_hf_train,0.7972972972972973
RT @mairam100: اللي فوق مصممة أميركية، تمنح الأحذية النايك لمسة أنثوية. هذا حسابها في انستا تقدروا توصوها. @gymprincesscustomsاللي تحت غو…,0,msa,arsarcasm_train,0.7636363636363637
@_De5tiny_ قدني اتخطيتو و قاعده اقرا كتاب هاري بوتر 🌞,0,egypt,arsarcasm_train,0.8461538461538461
طب انتى عارفه انه سمكرى الراجل مقلش انه دكتور,0,egypt,isemeval_ar_train,1.0
"""#الفيفا_هلالي الامم المتحده هلاليه، الاسيوي (الذي تفل ع الاتحاد) هلالي، الجامعة العربية هلالية، والشعب كله يردد عشان سلمان #الهلال""",1,gulf,arsarcasm_train,1.0
قنوات العهر العربي تعرف بان هيلاري كلنتون تقدمت على منافسها في استطلاعات الراي بينما لاتعرف ماالذي حدث في صنعاء !,1,msa,arsarcasm_train,1.0
"""وداد جابر: ميشال عون لن يكمل ولايته #للنشر""",0,msa,arsarcasm_train,1.0
ومالوا براحتك يا كبير هو أنت حد هيحاسبك,1,egypt,isemeval_ar_train,1.0
🔹الثقافة القرآنية🔘 ما يخرج أمتنا من مأزقها و هوانها و ذلها بين الأمم هو العودة الصادقة إلى الرسول ورسالته.💚ذكرئ.المولد.النبوي.الشريف,0,msa,isemeval_ar_train,1.0
"ما يقال عن صدور ""مذكرة تفسيرية"" للإعلان الدستوري ""ضحك على الذقون",1,msa,arsarcasm_train,1.0
الابتذال ملا الشوال! شبرا القاهرة مصر افريقيا كوكب الارض مجرة درب التبانة | شبرا,0,egypt,isemeval_ar_train,1.0
كان في حكمة حلوة بتقول لا تقض وقتا ممتعا معي إذا كنت سترحل عجبتني عايزة اشيرها المشكلة اني هنشرها لمين ؟! محدش معايا اساسا القدر,0,egypt,arsarcasm_train,1.0
عاد جلاّد الأندية ؛ وحاكم الكرة الدائم 😍️ تصميمي ريتويت ريال مدريد كريستيانو رونالدو,0,msa,isemeval_ar_train,1.0
دي اشكال راح زمن الفن الجميل فين ايام حمو بيكا,1,egypt,isemeval_ar_train,1.0
"المدرسين أخذوا علاوة, العلاوة 20 جنيه",1,egyptian,training_generated,1.0
"""إلغاء وضع اسم #أحمد_شفيق على قوائم الترقب والوصول https://t.co/ItCMV3rm0e""",0,msa,arsarcasm_train,0.7142857142857143
"""داعش ، حزب الله ، جبهة فتح الشام…الخوفيه اكثير وثاني مره لا تدرعم لان اسلوبك مُستفز وانتها نقاشي معك يا(معقد)…🙂@Mamno1987""",1,levant,arsarcasm_train,0.9456521739130435
احد ضحايا الاخوان اصابوه برصاصة في قدمه ثم عذبوه ببشاعة داخل الجامع هو احمد ثابت عضو 6 ابريل وهو يعالج الان في مستشفى البترول بالإسكندرية,0,msa,arsarcasm_train,1.0
@Nor_Alturki @AliAldafiri @salsaeedi هههه داعش تنصر المضلوم لو الجيش الحر لو جبهة النصرة كلهم مدعومين من السعودية الي تقصف شعب اليمن المضلوم,0,egypt,ar_sarcasm_hf_train,0.7391304347826086
فاتِنَ ، حَسنا ، خلاّبَ ، مُثير ، ساحِر ، فتّانَ ، أخّاذَ ، جذّاب ، مُلفتَ ، بَهيّ ، أنِيقَ ، باهِرَ ، مُذهل ، مَليحّ ، مُدهِشَ ، مُغريِ ، مُتألقَ ، مُشرقَ ، بَرّاق ، بَدِيعhttps://t.co/G6QnA9CSC6,0,msa,arsarcasm_test,0.9
#عاجل :#عرسال :عاصفة ثلجية تهدد حياة الالاف النازحين السوريين في منطقة #عرسال. #ماسة_الثورة_السورية,0,levant,ar_sarcasm_hf_train,1.0
مرسي فتح على نفسه فتوحة ضنك بذاته الرئاسية دي ده فيه ناس هيبقى كيفها الشتيمة بعد كده,0,egypt,arsarcasm_train,1.0
ما هضمتك حتى مع بيبسي,1,levant,isemeval_ar_test_A,1.0
@Emma_R94 نوبة كم انتي مذهلة اوه ماي قاد 😂😂😂تخيلتك هاري بوتر,0,levant,arsarcasm_train,0.8837209302325582
"#اعتراف : غيابك المر شتت زاهي حضوري !""",0,egypt,arsarcasm_train,1.0
#صالح_ذيابببب_المطيريعود نفسك على التجاهل ، ليس كل ما يقال يستحق الردbUj,0,msa,arsarcasm_train,0.9491525423728814
"""الجعفري: ضباط استخبارات أجانب مازالوا موجودين في أحياء #حلب الشرقية ولذلك نرى هستيريا فرنسية وبريطانية وأمريكية لضمان سلامتهم""",0,msa,arsarcasm_train,1.0
لله الحمد تجوزنا 5000 محب و متابع لصفحة الأقصى متى نصل لـ 10 آلاف محب ومتابع ؟؟ تغريدات الدكتور عوض القرني,0,msa,isemeval_ar_train,1.0
خطوة رائعة للحفاظ على هيبة ونقاوة الحدث #كاسترو زعيم له جماهيره الواسعة https://t.co/9EXEc6lDpc,0,levant,ar_sarcasm_hf_train,0.7866666666666666
تطبيق يقوم بتحويل هاتفك الاندرويد الى جهاز كمبيوتر يعمل بنظام تشغيل ويندوز https://t.co/5Hjkr6t6Zd,0,levant,ar_sarcasm_hf_train,0.8076923076923077
"محطة إذاعة, البث ينقطع",1,algerian,training_generated,1.0
"""@a7lam23456 منو هذا بوكيمون""",0,gulf,arsarcasm_train,0.7647058823529411
كي تحب تطلب حاجة اهدر طول حاب اللبن و مدرق الطاس,1,magreb,isemeval_ar_test_A,1.0
ترامب يصعد هجومه على ريان بعد تخليه عنه: صعد المرشح الجمهوري في انتخابات الرئاسة الأميركية دونالد ترامب هجومه... https://t.co/tou5culKFi,0,levant,ar_sarcasm_hf_train,0.8425925925925926
الحب لا يعرف بروتوكولات المراسم الملكية ..شاهدوا العاشقين بالـ #صورhttps://t.co/RBOlfqpMCV#العائلة_الملكية #بريطانيا,0,levant,ar_sarcasm_hf_train,0.8105263157894737
"قصر العدالة, المواعيد بعيدة",1,algerian,training_generated,1.0
اللي حاسب يوم السبت من ضمن الويكند يكذب علينا,0,msa,arsarcasm_train,1.0
"""#الاحد_4_ديسمبر #سعودي_اوجيه_بدون_رواتب #سعد_الحريري موعدنا لنطالب بحقوقنا المسلوبة المصروفة على ولائم @saadhariri أمام بيت الوسط""",0,msa,arsarcasm_train,0.9047619047619048
الجو مال ديت,0,gulf,arsarcasm_test,1.0
"مستشفى الأطفال, الحضانات مكسورة",1,egyptian,training_generated,1.0
"""RT @falshi777a: ""احلم دوما أن اكون "" 👱🏻""الأفضل بين الجميع "" 👩🏼"" لذا اجمع البوكيمون "" 👱🏻"" سلاحي المنيع "" 👩🏼""بوكيمون سأجمعها الان "" 👩🏼👱🏻…""",0,msa,arsarcasm_train,0.891566265060241
"""الإندبندنت : بريطانيا تبيع الاسلحة للسعودية سرا https://t.co/pxEhwcU9qW""",0,msa,arsarcasm_train,0.7017543859649122
"- "" مُختلفة كـ قِطعةٍ أثريةٍ نادِرة ""🌿.",0,msa,arsarcasm_train,1.0
جيتني صدفه انتظرها..(ويا محاسن الصدف)♥️,0,msa,arsarcasm_test,1.0
انتظروا ثورة الجياع قريبا جدا مصر الليلة,0,msa,isemeval_ar_train,1.0
العميد: الطلبة تفضل في الكلية وماحدش يخرج انا هنا هاقدر احميهم الخلفية ورا العميد: قنابل غاز عمالة تضرب جوا الكلية احنا: هلكانين ضحك,1,egypt,arsarcasm_train,1.0
"الطريق الوطني رقم 3, مقطوع من شهر",1,algerian,training_generated,1.0
#ماذا_لو_المدارس_مختلطه اغغلب المدارس فيها بويات تعتبر مختلطه؟؟؟؟,0,levant,ar_sarcasm_hf_train,1.0
"""@malak_alhusaini ملاك تكفين ابي اسدد لجامعه قميته ١٩٠٠ 😭😭💔 م ابي ايفون لا شيء بس ابي اكمل دراستي""",0,gulf,arsarcasm_train,0.8108108108108109
النساء هن بعد الصحافه افضل وسيله لنقل الاخبار,1,magreb,isemeval_ar_train,1.0
"""📍 عاجل وهام جداً طريقة نصب وحتيال وتوريط جديده #الرياض #جده #الدمام #القصيم #كريم #اوبر #ايزي_تكسي #السعودية https://t.co/afb8ONKIGg""",0,msa,arsarcasm_train,0.8282828282828283
"ملعب كرة القدم, العشب بلاستيكي مقطع",1,algerian,training_generated,1.0
المشكلة هي في أنصار الجدل العقيم، المشكلة هي في أحزاب وتيارات تريد دستورا رجعيا بنتقص من الحقوق والحريات باسم خطر متوهم هو مخالفة الشريعة,0,msa,arsarcasm_train,1.0
"""مواطنين في منطقة التربة #تعز يفيدون بسامعهم طائرات عمودية متوجهة الى المدينة شكلها عتكون ليلة غبراء#اليمن #صنعاء #عدن #صعدة #مآرب #السعودية""",0,msa,arsarcasm_train,1.0
قالوا في مشكلة عيش في االسودان ؟؟ العيش دا شنو ؟؟؟ #السودان_ينتفض | #SudanRevolts,0,msa,arsarcasm_test,0.8125
"من القدر انك لو صرخت فى مكان فاضى باعلى صوتك "" #موووورسى"" ... هيرد عليك الصدى ويقولك : ""سى سى سى سى سى""",0,msa,arsarcasm_test,1.0
#كلنا_ضد_مريم_بيفور هههههه ذكرتونا بسوالف شات الود و قلوب تتهاوش بنتين وبعدها يجون اشباه الرجال يدافعون عن البنات #فضاوه,0,gulf,arsarcasm_train,1.0
"""إطلاق النار الذي سمع قرب حاجز #قلنديا قبل قليل، نتج عن إطلاق جنود #الاحتلال النار صوب مستوطن كان يركض باتجاه الحاجز ظنوا أنه فلسطيني.""",0,msa,arsarcasm_train,1.0
جمعت القروش المميزة في ٣ عوالم.. متعة اللعبة تتلخص في تجميعها + طور الرالي اللي يوسع مملكتك وخياراتك 👍… https://t.co/sDp22n6bBm,0,levant,ar_sarcasm_hf_train,0.8421052631578947
"""""السيسى"" يُشرف على إصدار أغرب تاريخ بعد أن جعل حرب أكتوبر المجيدة دون إسرائيل https://t.co/Cdf0kZiZda""",0,msa,arsarcasm_train,0.7848101265822784
يعذربنا الصغير اللي عجز يلقى بنا عذروب تعب ما حصل الا طيب حاضرنا وماضينا,0,msa,arsarcasm_test,1.0
"الوزير قال الصادرات ترتفع, الميناء مقفل",1,msa,training_generated,1.0
ترا نحن عايشين بتبات و نبات وما عندنا أي مشاكل و مو ناقصنا شي أبدا لذلك خلونا نتقاتل على موضوع كأس العالم و متابعته حلال و لا حرام و بدعة و لا مانو بدعة ..,0,msa,arsarcasm_test,1.0
عاجل | #نيويورك: #مجلس_الأمن يصوت على قرار يدعو إلى نشر مراقبين في #حلب وداخل أحيائها الشرقية https://t.co/xNfIFPBRvM,0,levant,ar_sarcasm_hf_train,0.8
"""المغامر المجنون غراهام ديكنسون والمصور داريو يقومان بقفزة مدهشة بإستخدام زي الجناح أو السنجاب الطائر في منطقة شامون… https://t.co/G0n1P5SQSL""",0,msa,arsarcasm_train,0.8672566371681416
#صورة: اقتحام مقرات لحركة #أحرار_الشام الإسلامية و #جبهة_النصرة في منطقة #حارم بمحافظة #إدلب من قبل متظاهرين غاضبين… https://t.co/eE9U3o0dS5,0,levant,ar_sarcasm_hf_train,0.8666666666666667
@Venusiann بفتح فيسبوك بلاقي الجملة بوجي بفتح تويتر بلاقيها انستغرام ولك حتى سنابشات! خايفة افتح البراد تطلعلي! 😢,1,msa,ar_sarcasm_hf_train,0.9021739130434783
"""لا #للمداخلة السلفيين في #ليبيا""",0,msa,arsarcasm_train,1.0
"مدرسة خاصة, التلاميذ يدفعون رسوماً عالية",1,egyptian,training_generated,1.0
#مجلة_النجوم2 #احمد_حلمي @ahelmy يشكر #مهرجان_القاهره_السينمائي و #طارق_الشناوي ع كتاب حلمي...خارج السرب https://t.co/JS4zsPhAVz,0,msa,ar_sarcasm_hf_train,0.7628865979381443
اهم حاجة ان الواحد يشرب قهوته و نسكافيهه و شايه و كل حاجة...عشان ينام كويس #exams,1,egypt,arsarcasm_train,0.9193548387096774
#ماذا_لو_المدارس_مختلطه ما بحل واجبات ابدا,0,egypt,ar_sarcasm_hf_train,1.0
أقصى درجات السذاجة، عند وجود كتاب مفتوح يسمى حياتك، يٌقرأ ع لسان كل من كان ! #بوح,1,msa,arsarcasm_test,1.0
الله يرحمك يا جبران تويني ١١ سنة يا صديقي وبعدك بالبال رجل كلمته حرة. وبعد بالبال آخر لقاء لنا ضحكنا ع ردة فعل جان لويس قرداحي امام مي شدياق,0,levant,isemeval_ar_train,1.0
"""طبت طيب أوردوغان والله لا ينفع مع الأوغاد الإيرانيين أو الروس أو السوريين إلا التهديدبالقصف الجوي والأرضي إن اعتدوا على النازحين السوريين..""",0,msa,arsarcasm_train,1.0
