source,label,text
arsarcasm_train,0,"""مع فيدرر يا آجا والكبار 😍 https://t.co/hrBeHbkBNu"""
arsarcasm_train,1,"""@ihe_94 @ya78m @amooo5 @badiajnikhar @Oukasafa @reoshalm @Mnory202 مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي"""
arsarcasm_train,0,"""طبيب #المقاصة: إصابة #أحمد_الشيخ بسيطة تحتاج للراحة فقط https://t.co/VpTVCt8HKE"""
arsarcasm_train,0,"""Retweeted هاشتاق العرب (@TheArabHash):#فيديو | أهالي #القدس يرفعون #الأذان فوق أسطح منازلهم تحدياً لقانون سلطة... https://t.co/g43i0Lmuwl"""
arsarcasm_train,0,"""الاتجاه: أوباما يصل الى إسرائيل للمشاركة بدفن بيريس: الاتجاه برس / وكالاتوصل الرئيس الأمريكي باراك أوباما وز... https://t.co/FB2DriOSed"""
arsarcasm_train,1,"""@kdriyadh @nevermind330 وقت الشدة في ظنتي الجيش المصري حيوقف مع السعودية ماراح يتبعو سيسي ولا غيروا عشان كذا لعاد يوزعو فلوس خلاص كفاية"""
arsarcasm_train,0,"""عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش  إذاعة #البيان  https://t.co/e2AkVg9QYi :"""
arsarcasm_train,0,"""انت لسه مبقتش من شركاء اوبر !! :/الفرصه لسه فأديك .. و بـ 4 خطوات بس ;)1- هتجيب فيش وتشبيه موجه لشركه #اوبر2-... https://t.co/trtb71pTL7"""
arsarcasm_train,1,"""مفحوص مفعوص من #حماة المحتله ترك حماة وحلب والساحل النصيري وذهب يشتغل كلب عند الناتو لجهنم وبئس المصير #درع_الفرات https://t.co/6AkRDZMd3O"""
arsarcasm_train,0,"""#دولة_الخلافة  القوات العراقية تفكك العبوات الناسفة التي خلفها داعش بجزيرة الرمادي https://t.co/cvgdVBlMyO `"""
arsarcasm_train,1,"""@WAZJ81 @a4EaA6ogaKArvKT @hjab2030 @a_1k2 العصابة الوهابية تحارب جبهة النصرة وتركت جيوش المجوس تسرح في حلب ههههههه"""
arsarcasm_train,1,"""@MMagadli هههههههههههههه كمان حكاها بشار الأسد بعد ما صلى العيد بداريا! https://t.co/TN0ga1HahA!"""
arsarcasm_train,1,"""#ماجدة_واصف: لا أعرف من هي #سما_المصري و #مهرجان_القاهرة_السينمائي لم يوجه الدعوة لها #مصريات https://t.co/Nj9qYBZymB"""
arsarcasm_train,0,"""RT @AAN_KSA1: ⁧#الارهاب_صناعه_امريكيه_لاسعوديه⁩ ⁧#قانون_جاستا⁩محمد الملا يتكلم عن مذكرات هيلارى كلنتون https://t.co/KMf4l24SOw"""
arsarcasm_train,0,"""@Yaqoobzz قبل كنت اتابع فيدرر بس كرهت نادال يوم طلع"""
arsarcasm_train,0,"""#شمعة الكترونية لمستخدمي #أجهزة #أبلhttps://t.co/8LikGFNvm9 https://t.co/hV8W8RYY2w"""
arsarcasm_train,0,"""@KarMostafa @shakerrzalloum @YouTube صار #حزب_الله مثل #فيلق_القدسيتحدث عن فلسطين وهو يقتل العرب ويدمر حلب"""
arsarcasm_train,0,"""@Fa6ma_352 @Aldousri85x جستن بيبر 🌚"""
arsarcasm_train,0,"""#حماس ما بعد #مشعل.. بعيون #إسرائيلhttps://t.co/n3tBMfsxsx https://t.co/P0rc6PWIJm"""
arsarcasm_train,0,"""حواري مع النجمة الذهبية #نوال_الزغبي على صفحات جريدة الوطن وتصرح: الآن أصبحت ناضجة! @NawalElZoghbi @al_watanQatar… https://t.co/7nsn4LZUXH"""
arsarcasm_train,0,"""الانفاق قاتلة الجنود والمدرعات في #حلب #جبهة_النصرة اشترت من #داعش أسلحة من #تدمر - https://t.co/UMx9fAVC09 https://t.co/qsBafhETU4"""
arsarcasm_train,0,"""@nojoom19 @CyrineAbdlNour @NESREENTAFESH @nadinenjeim نادين نسيب نجيم😌😍😍"""
arsarcasm_train,0,"""@mohanadxoxo اليوم يمكن اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي"""
arsarcasm_train,0,محد صاح https://t.co/dvS94UFsHG
arsarcasm_train,0,"""@naji_demani @MousaAlomar يعني على اساس لو ما حلف الناتو والسعودية وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا على مخفر"""
arsarcasm_train,0,"""كارثة يرتكبها كل من يقول أن #المولد_النبوي بدعة#الإسلام #أهل_السنة #ألأزهر #المولد_الشريف #الدعوة_النجدية https://t.co/X5VHckEnwo"""
arsarcasm_train,0,"""اللهم أنصر أخواننا في حلـب وارحم المستضعفين منهم واجعل تدبير اعداءهم في تدميرهم وعجّل لنا بنصـرهم يارحيم… https://t.co/si8E0Z6aej"""
arsarcasm_train,0,في قلبي رجل M❤️                            يلغي كل رجال https://t.co/AQpIJN01g8
arsarcasm_train,0,"""#مباريات_الخميس 15 ديسمبر#ريال_مدريد_كلوب_أمريكا#الشباب_الإتفاق#الباطن_الفيصلي#الجيش_الغرافه#جنوى_فيورنتينا. https://t.co/eD5We9jRUW"""
arsarcasm_train,0,"""اتفاق بملياري دولار بين #الصين و #مصر لتبادل العملات | Eurasia Diary https://t.co/FYqhmLrAYZ с помощью @EurasiaEreb #egypt #china #economy"""
